request_symbol,name,current_listing,identity_count,asset_classes,start_date,end_date,extreme_return_days_gt_50pct,observations,return_observations,years,cumulative_return,cagr,annualized_volatility,sharpe,max_drawdown,ulcer_index,calmar,martin,spy_observations,spy_return_observations,spy_years,spy_cumulative_return,spy_cagr,spy_annualized_volatility,spy_sharpe,spy_max_drawdown,spy_ulcer_index,spy_calmar,spy_martin,beat_spy_cagr,excess_cagr,beat_spy_sharpe,excess_sharpe,beat_spy_calmar,excess_calmar,beat_spy_martin,excess_martin,beat_spy_all_four,economic_qc_pass,statistical_primary_sample,primary_sample,exploratory_sample,study_cutoff,selection_reason,taxonomy_version,normalized_name,asset_class_refined,exposure_type,primary_strategy,sector_theme,theme,geography,management_style,management_confidence,taxonomy_confidence,taxonomy_evidence,analysis_primary,canonical_symbol,alias_consolidation_reason,economic_name_key,sortino,spy_sortino,direction,breadth,dbf_signed,dbf,spy_direction,spy_breadth,spy_dbf_signed,spy_dbf,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_relative_cash_return,spy_relative_cash_cagr,spy_relative_cash_ulcer_index,spy_rwm_score,beat_spy_sortino,excess_sortino,beat_spy_dbf_signed,excess_dbf_signed,beat_spy_rwm_score,excess_rwm_score,beat_spy_cagr_and_martin,beat_spy_cagr_and_rwm,beats_count,evidence_bucket,intentional_management
DFAU,Dimensional US Core Equity Market ETF,True,1,equity,2020-11-19,2026-08-28,0,1449,1448,5.771507970731774,1.30343697559411,0.1555456709189127,0.16603275947807147,0.9577450666934113,-0.23613478709063707,0.07593798019920799,0.6587156125336529,2.0483251004420975,1449,1448,5.771507970731774,1.3312324586930848,0.15794970072978742,0.16620727363199075,0.9693941812244894,-0.24496388734674468,0.07877979809585854,0.644787696833904,2.0049518347025423,False,-0.0024040298108747304,False,-0.011649114531078086,True,0.013927915699748827,True,0.043373265739555134,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Dimensional US Core Equity Market ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,united_states,active_identified,medium,medium,asset:equity|exposure:other_equity|management:active_sponsor_dimensional|geography:united_states|theme:not_thematic,True,DFAU,,dimensionaluscoreequitymarketetf,1.3902781105630597,1.413837079574842,0.07681583419584691,0.5139848814215412,0.03948217743044914,0.03948217743044914,0.07871877731385475,0.5032755104833236,0.039617232837253324,0.039617232837253324,0.9082632245758298,0.11847112275627647,0.08552319079398323,1.3852514348027718,0.9312901616134328,0.12079802163130804,0.08780993836604485,1.3756759642370882,False,-0.023558969011782338,False,-0.0001350554068041826,True,0.009575470565683641,False,False,2,intentional_management,True
DUHP,Dimensional US High Profitability ETF,True,1,unknown,2022-02-24,2026-08-28,0,1132,1131,4.5065949335030835,0.8067184397692979,0.14025827360785126,0.16051474416716718,0.9014240399970337,-0.200462011954595,0.05845647061479658,0.69967507679021,2.399362673331648,1132,1131,4.5065949335030835,0.9136187189430112,0.15489599836489765,0.1733307235822298,0.9208758853019191,-0.2209484799542688,0.0738845937130355,0.7010503009432675,2.0964586875378495,False,-0.014637724757046389,False,-0.019451845304885418,False,-0.0013752241530574638,True,0.30290398579379874,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Dimensional US High Profitability ETF,equity,other_equity,other_equity,not_sector_specific,not_thematic,united_states,active_identified,medium,medium,asset:name_inferred_equity|exposure:other_equity|management:active_sponsor_dimensional|geography:united_states|theme:not_thematic,True,DUHP,,dimensionalushighprofitabilityetf,1.3118257919654928,1.3476489648343064,0.07275636472168139,0.5051081022866176,0.0367498293138415,0.0367498293138415,0.07497144021779922,0.49234597450542483,0.036911886794107555,0.036911886794107555,0.49829085090249303,0.09386633839818548,0.06544375206976424,1.4343055743216286,0.5869420246101953,0.10790852055381994,0.08256391955955804,1.3069694502085674,False,-0.035823172868813646,False,-0.00016205748026605626,True,0.12733612411306128,False,False,1,intentional_management,True
HEQT,Simplify Hedged Equity ETF,True,1,equity,2021-11-02,2026-08-28,0,1210,1209,4.818716332299774,0.5433534174555701,0.0942363028222355,0.08420021561323295,1.116506776646288,-0.11510311955790897,0.041675959025609347,0.8187119791729426,2.2611669899264584,1210,1209,4.818716332299774,0.7806501938489767,0.12720034429398952,0.17362672514739252,0.7793669451809005,-0.24496388734674457,0.08597983837321146,0.5192616171784471,1.479420602558623,False,-0.032964041471754024,True,0.3371398314653874,True,0.2994503619944955,True,0.7817463873678354,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,long_short_market_neutral,not_sector_specific,not_thematic,not_determined,not_determined,low,medium,asset:alternatives|exposure:long_short_market_neutral|management:free_metadata_insufficient|geography:not_determined|theme:not_thematic,True,HEQT,,simplifyhedgedequityetf,1.6277099483980764,1.1323327118154147,0.09289951997544457,0.5288876430606859,0.04913340816128199,0.04913340816128199,0.06170095984442634,0.5012619710139806,0.03092834474507162,0.03092834474507162,0.2795624883553891,0.05248968090664552,0.048412490267413455,1.084217742502216,0.47630035166426454,0.084196098798756,0.09588474587054967,0.8780969072226144,True,0.49537723658266164,True,0.018205063416210372,True,0.20612083527960157,False,False,3,intentional_management,True
JAVA,JPMorgan Active Value ETF,True,1,equity,2021-10-05,2026-08-28,0,1230,1229,4.895377728495451,0.7818849740368081,0.12524806636580488,0.14646622492448888,0.8820984379272475,-0.16541210988199062,0.04929595508000754,0.757188010328628,2.5407371895427677,1230,1229,4.895377728495451,0.8990587081333887,0.13998265322149428,0.1726229134768062,0.8480653510257317,-0.24496388734674468,0.08527938465579585,0.5714419979927482,1.6414594662765385,False,-0.014734586855689402,True,0.03403308690151585,True,0.18574601233587984,True,0.8992777232662292,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,JPMorgan Active Value ETF,equity,factor_style_or_income,factor_or_style,not_sector_specific,not_thematic,not_determined,active_identified,high,high,asset:equity|exposure:factor_style_or_income|management:active_word|geography:not_determined|theme:not_thematic,True,JAVA,,jpmorganactivevalueetf,1.2756777833326813,1.2343682558662388,0.06930912381287534,0.5390932847094466,0.03736408321661669,0.03736408321661669,0.06787109110980684,0.5009106103884192,0.033997349675541355,0.033997349675541355,0.477233394051219,0.08296421090795758,0.05969901264176519,1.3897082587579705,0.5743737568890119,0.097145110839439,0.09510328905317805,1.0214695181059326,True,0.041309527466442564,True,0.003366733541075334,True,0.368238740652038,False,False,3,intentional_management,True
SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,True,1,equity,2020-05-11,2026-08-28,0,1584,1583,6.297186116073568,0.9693876911904487,0.11362793755526224,0.10048795084122805,1.1241303542639751,-0.11681808104720148,0.0274008638076954,0.9726913551109418,4.146874286618306,1584,1583,6.297186116073568,1.875528763337285,0.18261905395869915,0.16966302376484216,1.0760946027793372,-0.24496388734674468,0.07612062704250705,0.745493778436832,2.3990744828825643,False,-0.06899111640343691,True,0.0480357514846379,True,0.2271975766741099,True,1.747799803735742,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,ETC 6 Meridian Hedged Equity Index Option ETF,alternatives,long_short_market_neutral,long_short_market_neutral,not_sector_specific,not_thematic,not_determined,index_passive_identified,high,high,asset:alternatives|exposure:long_short_market_neutral|management:index_provider_or_index_word|geography:not_determined|theme:not_thematic,True,SIXH,,etc6meridianhedgedequityindexoptionetf,1.6333813874012248,1.5562031122317503,0.09753862349479363,0.4782567375434547,0.046648503857099365,0.046648503857099365,0.0872587167540543,0.5108270826278617,0.04457411571332448,0.04457411571332448,0.6307825091535089,0.08075865653481062,0.03339936906386272,2.417969524525823,1.3811269019273982,0.14771346591279944,0.08468019293437708,1.7443685564966769,True,0.07717827516947451,True,0.0020743881437748843,True,0.6736009680291462,False,False,3,intentional_management,True
TEQI,T. Rowe Price Equity Income ETF,True,1,equity,2020-08-05,2026-08-28,0,1524,1523,6.061726113472556,1.37853065624277,0.15366434733038248,0.149477880583469,1.0340638349303926,-0.17821317610370446,0.04936158258819913,0.8622502033237054,3.1130352649414244,1524,1523,6.061726113472556,1.5214750224557725,0.16482524664168086,0.16759723502536467,0.9969623818379221,-0.24496388734674468,0.07743017281839894,0.6728552866585263,2.12869532176112,False,-0.011160899311298378,True,0.03710145309247048,True,0.18939491666517905,True,0.9843399431803044,False,True,True,True,True,2022-03-01,first_usable_session_on_or_before_2022-03-01|at_least_1008_daily_returns|economic_qc_pass,etf_taxonomy_1.1,T. Rowe Price Equity Income ETF,equity,other_equity,dividend_or_income,not_sector_specific,not_thematic,not_determined,active_identified,medium,medium,asset:equity|exposure:other_equity|management:active_sponsor_t_rowe|geography:not_determined|theme:not_thematic,True,TEQI,,trowepriceequityincomeetf,1.5273082407203993,1.4481969350802193,0.0819399165370951,0.542659097665145,0.044465441170777324,0.044465441170777324,0.08058629738873307,0.5092746181083118,0.041040555827409876,0.041040555827409876,0.9699463825706311,0.1183455131820903,0.06185593762450205,1.9132441884643245,1.088335748875866,0.12916472736405837,0.08617403556537129,1.4988821924914322,True,0.07911130564017999,True,0.003424885343367448,True,0.41436199597289236,False,False,3,intentional_management,True
