request_symbol,name,start_date,asset_class_refined,management_style,primary_strategy,sector_theme,cagr,spy_cagr,excess_cagr,sortino,spy_sortino,excess_sortino,calmar,spy_calmar,excess_calmar,martin,spy_martin,excess_martin,direction,spy_direction,breadth,spy_breadth,dbf_signed,spy_dbf_signed,excess_dbf_signed,dbf,spy_dbf,beat_spy_dbf_signed,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_relative_cash_return,spy_relative_cash_cagr,spy_relative_cash_ulcer_index,spy_rwm_score,beat_spy_rwm_score,excess_rwm_score,beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,beat_spy_all_four,joint_excess_score
CLSE,Convergence Long/Short Equity ETF,2022-02-22,alternatives,active_identified,long_short_market_neutral,not_sector_specific,0.20313448314621674,0.1529112180369483,0.050223265109268445,2.026854843484932,1.33210886697911,0.6947459765058219,1.2352219433074485,0.6920673003434886,0.5431546429639599,4.044982449202576,2.0757504771351747,1.969231972067401,0.11106043908024178,0.07393784262315792,0.5789471972658564,0.4937884386342834,0.06429812993262136,0.036509651864876515,0.02778847806774485,0.06429812993262136,0.036509651864876515,True,0.9156655179402011,0.15426419575517225,0.05855166502851986,2.634667958290031,0.5790971517288075,0.10608095645680748,0.08231878721724098,1.2886603416162783,True,1.346007616673753,True,True,True,0.9860349127182044
NETZ,Engine No. 1 Transform Climate ETF,2022-02-02,equity,non_index_management_identified,thematic_equity,not_sector_specific,0.2005932113275788,0.13062013403672945,0.06997307729084934,1.2873037519208637,1.149648589265061,0.1376551626558027,0.7754112857147264,0.5911791475721613,0.18423213814256512,2.856719510686667,1.7453615211812468,1.1113579895054204,0.06822381955480872,0.06297260595132328,0.5303632973727958,0.4961974963196713,0.03618340989845498,0.03124684940977185,0.004936560488683128,0.03618340989845498,0.03124684940977185,True,0.8792349351886739,0.15224114339789385,0.07976321489998821,1.908663581185672,0.4384039820560275,0.08508612550842565,0.0835206177417259,1.0187439677654304,True,0.8899196134202416,True,True,True,0.9842892768079801
BOAT,SonicShares Global Shipping ETF,2021-08-04,equity,index_passive_identified,sector_or_industry,industrials_transport,0.2824983972297219,0.1318677475900547,0.1506306496396672,1.6235128969341508,1.1805839365963668,0.44292896033778395,0.8323335961011905,0.5383150513258994,0.2940185447752911,2.3738470631760404,1.5737124327200362,0.8001346304560042,0.08236503251647384,0.06477746585962701,0.5753860393983403,0.5014908164829315,0.0473916898445694,0.03248530424363957,0.014906385600929828,0.0473916898445694,0.03248530424363957,True,1.934890986937826,0.23585619376018463,0.13541450038575992,1.7417351397988623,0.5549355482509875,0.09070371502850283,0.09341974803637712,0.9709265646186855,True,0.7708085751801768,True,True,True,0.982793017456359
PVAL,Putnam Focused Large Cap Value ETF,2021-05-26,equity,active_identified,factor_or_style,not_sector_specific,0.16841682067070596,0.13744698244648923,0.030969838224216728,1.6187031660519071,1.236308979727142,0.3823941863247651,1.0118430530306954,0.5610907956074926,0.4507522574232028,3.7763025457770376,1.6706192280550123,2.1056833177220255,0.08920150439285018,0.0683283774932142,0.5356036033065317,0.49959518317190643,0.047776647173173974,0.03413652826956152,0.013640118903612455,0.047776647173173974,0.03413652826956152,True,0.8826485217941258,0.1274040982518292,0.049526883673239666,2.5724230721317944,0.6338669512917436,0.09752133559514675,0.09172196614237546,1.0632277053870522,True,1.5091953667447422,True,True,True,0.9812967581047382
FFLC,Fidelity Fundamental Large Cap Core ETF,2020-06-05,equity,active_identified,factor_or_style,not_sector_specific,0.1961065603354446,0.1674215958262646,0.02868496450918001,1.6289106588529214,1.4456746714852196,0.18323598736770186,0.9946344519238719,0.6834541925327974,0.3111802593910745,4.456336131159404,2.1906218064844034,2.2657143246750002,0.08851989001794582,0.08108174618724771,0.5329344763124748,0.5094905278366169,0.04717530122995182,0.04131038166285544,0.00586491956709638,0.04717530122995182,0.04131038166285544,True,1.533218580251313,0.16040421035490993,0.04689084618677431,3.4208000793159576,1.176738854161735,0.13257545772186807,0.08502335022036757,1.5592829190834363,True,1.8615171602325213,True,True,True,0.9802992518703242
CGDV,Capital Group Dividend Value ETF,2022-02-24,equity,active_identified,dividend_or_income,not_sector_specific,0.1874250926213139,0.15386435574419122,0.03356073687712269,1.771931898274405,1.3416499164910365,0.4302819817833685,0.8592000758968855,0.6963811463017875,0.16281892959509803,3.3130111148375074,2.086909200273513,1.2261019145639946,0.09900765873946028,0.07455812358152718,0.5098996352374474,0.492919186858662,0.05048396907696447,0.036751129649514006,0.013732839427450468,0.05048396907696447,0.036751129649514006,True,0.8032211957463515,0.13913687169574196,0.06179355872720101,2.2516403742012523,0.5837865850639701,0.10694092682682066,0.08238942870838711,1.2979933045212904,True,0.9536470696799619,True,True,True,0.9798004987531173
PWRD,TCW Transform Systems ETF,2022-02-03,equity,active_identified,other_equity,not_sector_specific,0.19332230575648235,0.14132799363845439,0.05199431211802796,1.2404511059943235,1.2415008614992853,-0.0010497555049617802,0.7473019875925602,0.6396422988187378,0.10765968877382237,2.6885429380589683,1.916814872251803,0.7717280658071652,0.06539099099647241,0.06847468219978953,0.5304018687171979,0.4960105749150257,0.034683503821798425,0.03396416648504128,0.0007193373367571435,0.034683503821798425,0.03396416648504128,True,0.8628562460334606,0.14537898489449685,0.08114962153836876,1.7914930733935646,0.5188180747771463,0.09547361385872977,0.0822923626146323,1.1601758756863512,True,0.6313171977072134,True,True,False,0.9785536159600998
IAUM,iShares Gold Trust Micro Shares,2021-07-01,commodity,static_exposure_or_trust,precious_metals,not_sector_specific,0.19263117851573885,0.1336483566039286,0.05898282191181026,1.497766473694906,1.199919019213211,0.2978474544816949,0.7322706820752168,0.5455839146394273,0.1866867674357895,2.2196184479751353,1.6091200886959167,0.6104983592792186,0.08470296131409652,0.06590168417753864,0.5034332628624538,0.5023567629840889,0.04264228818846781,0.03310615673862806,0.009536131449839752,0.04264228818846781,0.03310615673862806,True,1.0618688666041751,0.15000262159502764,0.09735610875308481,1.5407622954145102,0.5856769870801697,0.09312803953683346,0.09259634235017918,1.0057420970759678,True,0.5350201983385423,True,True,True,0.9773067331670824
DARP,Grizzle Growth ETF,2021-12-17,equity,active_identified,factor_or_style,not_sector_specific,0.20413568579185615,0.1300899124877115,0.07404577330414464,1.1843358283824161,1.154367362882395,0.02996846550002119,0.6744221799317258,0.5310575117693579,0.14336466816236793,1.9994890284898637,1.4966161829766147,0.502872845513249,0.058405122444403046,0.0631015970870655,0.5661011749459238,0.49919037780426584,0.03306320843863711,0.03149971008994479,0.0015634983486923215,0.03306320843863711,0.03149971008994479,True,0.9892592530866327,0.15705375454926385,0.11058463315392955,1.4202131893917944,0.47483510982422406,0.08590318487428283,0.09694457145031517,0.8861061902605746,True,0.5341069991312198,True,True,True,0.9770573566084788
USG,USCF Gold Strategy Plus Income Fund,2021-11-03,commodity,non_index_management_identified,precious_metals,not_sector_specific,0.1681885934809484,0.1250254975559011,0.0431630959250473,1.4538266505117685,1.11715439953974,0.3366722509720286,0.6764642946768149,0.5103833830777202,0.16608091159909466,2.1843752656144395,1.4564401753895118,0.7279350902249277,0.08633592341612203,0.06075241899794293,0.4763969404003915,0.501666301031583,0.04113016976208305,0.030477441317418905,0.010652728444664146,0.04113016976208305,0.030477441317418905,True,0.7568125599821154,0.12360558297864332,0.0884572811616446,1.3973477519930735,0.46442773503720036,0.0820897730908654,0.09573249272006873,0.8574912316438267,True,0.5398565203492468,True,True,True,0.9770573566084788
DFIV,Dimensional International Value ETF,2021-09-13,equity,active_identified,factor_or_style,not_sector_specific,0.16357206189695894,0.1310492324462229,0.032522829450736035,1.460369987822868,1.1660837274835976,0.2942862603392704,0.6435423529737133,0.5349736806745055,0.10856867229920786,2.4181632870455108,1.5486486973642548,0.869514589681256,0.07916673192829993,0.06368842798956811,0.5404255636319905,0.5036454913223002,0.04278372572325418,0.032076389606350966,0.010707336116903214,0.04278372572325418,0.032076389606350966,True,0.7601466736767863,0.12036302311958935,0.07401920817230324,1.6261052514829144,0.5286234600515769,0.08904792307806231,0.09435781576194255,0.943725989829219,True,0.6823792616536954,True,True,True,0.9758104738154614
SPMO,Invesco S&P 500 Momentum ETF,2015-10-12,equity,index_passive_identified,factor_or_style,not_sector_specific,0.19124240894210076,0.14941273686916468,0.041829672072936086,1.3780018439611346,1.2392852427051642,0.1387166012559704,0.6179561860670839,0.44313450117617115,0.17482168489091277,2.70425362101139,2.1462270383886226,0.5580265826227673,0.08624206661564222,0.07608530445868224,0.3909863962867049,0.4237575383268931,0.033719474834367894,0.03224172132026337,0.0014777535141045212,0.033719474834367894,0.03224172132026337,True,4.2556875872341875,0.16447935353141818,0.07764136487929282,2.118450052844,2.5601229672461754,0.12358944806106043,0.0755745371830085,1.6353318547195441,True,0.4831181981244559,True,True,True,0.9738154613466334
QTUM,Defiance Quantum ETF,2018-09-05,equity,index_passive_identified,other_equity,not_sector_specific,0.2608491946810101,0.14771756373963818,0.11313163094137191,1.4130548870271598,1.1445265400245548,0.268528347002605,0.6784353713777718,0.43810688629607036,0.2403284850817014,2.1741614193931342,1.873838667649363,0.3003227517437712,0.07284024757149501,0.06804317816176046,0.5226917347637499,0.43284765232244204,0.038072995363765745,0.029452329923875673,0.008620665439890072,0.038072995363765745,0.029452329923875673,True,4.115025324268282,0.2264066241804641,0.1278646996647356,1.7706734131789919,1.4117257699297712,0.11636540578880683,0.08583393677077378,1.3557039344422674,True,0.4149694787367244,True,True,True,0.9723192019950124
FTEC,Fidelity MSCI Information Technology Index ETF,2013-10-24,equity,index_passive_identified,sector_or_industry,technology,0.22052478595972191,0.14102234822534854,0.07950243773437338,1.394190665294512,1.214661017171119,0.179529648123393,0.6309417218838272,0.4182499380240521,0.21269178385977516,2.382575543550053,2.167294897213427,0.2152806463366259,0.07775076415585802,0.07427295863120616,0.4773064623476507,0.42958624080957625,0.037110942184059116,0.03190664109218502,0.005204301091874093,0.037110942184059116,0.03190664109218502,True,9.11114153409884,0.1970641924468759,0.09750747201679065,2.0210163218357433,3.251430103503366,0.11908992881959346,0.07048946689694255,1.68947126517081,True,0.3315450566649334,True,True,True,0.9670822942643391
VGT,Vanguard Information Tech ETF,2004-01-30,equity,index_passive_identified,other_equity,not_sector_specific,0.15032157845749228,0.1084905725661216,0.041831005891370676,1.042002629708306,0.91347143036969,0.128531199338616,0.27516200589582457,0.1965784738760078,0.07858353201981677,1.1904341293569907,0.8977070246669057,0.292727104690085,0.05580339858216749,0.05415458438530533,0.48275255463546884,0.41307469086227316,0.026939233222882657,0.022369888203734884,0.004569345019147773,0.026939233222882657,0.022369888203734884,True,14.512643879559322,0.1290018785605076,0.1339689981141658,0.9629233656772942,5.717054839815198,0.0879461554324048,0.1303914984183781,0.6744776806706991,True,0.28844568500659507,True,True,True,0.9670822942643391
AVLV,Avantis U.S. Large Cap Value ETF,2021-09-23,equity,active_identified,factor_or_style,not_sector_specific,0.14952350172879703,0.13283738584820748,0.016686115880589547,1.313010137977837,1.1802280035377184,0.13278213444011855,0.7666984624728469,0.5422733419484689,0.22442512052437802,2.719537926039077,1.5652495390513184,1.1542883869877585,0.07147732888237887,0.06458447950935821,0.5224339576135906,0.5025628020954634,0.0373421838076694,0.032457756994100105,0.0048844268135692925,0.0373421838076694,0.032457756994100105,True,0.6506595097294257,0.10660935682546402,0.06277061186170145,1.6983960115021617,0.5354657306711432,0.09054616896130607,0.09463671437402413,0.9567763373889825,True,0.7416196741131792,True,True,True,0.9655860349127182
RSPT,Invesco S&P 500 Equal Weight Technology ETF,2006-11-07,equity,index_passive_identified,factor_or_style,technology,0.1468310892147786,0.11051255835753682,0.03631853085724179,0.9970904242396121,0.8979320383534896,0.09915838588612258,0.24923572594473511,0.20024219203763077,0.04899353390710434,1.0319951219315113,0.8592545588306288,0.17274056310088248,0.052820442916827595,0.05281223770777701,0.48501569637236486,0.4112453808588628,0.025618743904001883,0.021718788810143552,0.003899955093858331,0.025618743904001883,0.021718788810143552,True,9.819790394347871,0.12763077844661574,0.1524490200483609,0.8372030099381935,4.71666041885758,0.09192029448107397,0.13872187213377768,0.6626229380211205,True,0.17458007191707303,True,True,True,0.9591022443890274
INFL,Horizon Kinetics Inflation Beneficiaries ETF,2021-01-12,equity,non_index_management_identified,other_equity,not_sector_specific,0.1659158119584081,0.14902125631830687,0.016894555640101228,1.3607548468452917,1.3343663017876124,0.02638854505767929,0.7791184822124577,0.6083396941989586,0.1707787880134991,2.4309690218474174,1.8719610971057743,0.5590079247416431,0.07338344678651539,0.07396186143480342,0.5640264248610609,0.5037620160259301,0.04139020313498018,0.03725917642542706,0.004131026709553121,0.04139020313498018,0.03725917642542706,True,0.9688119382243277,0.12755502252131357,0.08743652249993271,1.458830004606047,0.8131495604046095,0.111216329049729,0.0887333745123042,1.2533765300936144,True,0.20545347451243257,True,True,True,0.958852867830424
GDMN,WisdomTree Efficient Gold Plus Gold Miners Strategy Fund,2021-12-16,commodity,non_index_management_identified,precious_metals,materials_and_mining,0.3840647653318747,0.12744954381280138,0.25661522151907334,1.3060051194663986,1.133953828533991,0.17205129093240767,0.727113664917683,0.5202789080187868,0.2068347568988962,1.5326658137372493,1.4668217707414066,0.06584404299584268,0.056713669923900506,0.061858172001592916,0.5401311337651387,0.4995330365334949,0.030632818835978227,0.030900200494366925,-0.0002673816583886983,0.030632818835978227,0.030900200494366925,False,2.839062100562506,0.3299777336615701,0.2662836911138916,1.2391961831430227,0.45913535423560803,0.08339062351491244,0.09690563984380172,0.8605342645621701,True,0.37866191858085263,True,True,True,0.9561097256857856
QTEC,First Trust NASDAQ-100-Technology Sector Index Fund,2006-05-02,equity,index_passive_identified,sector_or_industry,technology,0.15154199791162615,0.11095633836748542,0.04058565954414073,0.9561466154378052,0.9065495693398551,0.049597046097950126,0.25740783653149374,0.2010462950580956,0.05636154147339814,0.9953542226191409,0.8732773435902283,0.12207687902891251,0.04781813042045253,0.05347554451407742,0.5019231731808745,0.4111539876549027,0.02400102775621044,0.021986683368980187,0.0020143443872302526,0.02400102775621044,0.021986683368980187,True,11.287455128328762,0.13124209947692145,0.1599240047645356,0.820652907424098,4.921976819623032,0.09137190212881507,0.1370661464723248,0.6666263295529659,True,0.15402657787113216,True,True,True,0.9556109725685786
PPI,Astoria Real Assets ETF,2021-12-30,equity,non_index_management_identified,other_equity,not_sector_specific,0.1414567053150353,0.1227577919155256,0.018698913399509687,1.1295096810153045,1.096318315439271,0.033191365576033416,0.576320625622344,0.5011260771746439,0.07519454844770013,1.7107386184242737,1.4074919371195358,0.30324668130473786,0.061080230489949906,0.05970603782920321,0.5293143468685887,0.49835436377958353,0.03233064230837069,0.02975476449617231,0.0025758778121983787,0.03233064230837069,0.02975476449617231,True,0.538873613717608,0.09649957991068514,0.1012332272527412,0.953240181405677,0.42442037790517806,0.07853713719001298,0.09727340980802869,0.8073854647946219,True,0.1458547166110551,True,True,True,0.9551122194513716
IUS,Invesco RAFI Strategic US ETF,2018-09-12,equity,index_passive_identified,other_equity,not_sector_specific,0.15737087105169922,0.1480526786803733,0.009318192371325917,1.287761767384362,1.1457045951714804,0.1420571722128816,0.45388867539408906,0.4391007841070005,0.014787891287088573,2.59684832410328,1.87575676448276,0.7210915596205199,0.08068339437548663,0.0680669558416841,0.4081047608724199,0.43341746977080325,0.03292727736798312,0.029501407775903717,0.0034258695920794044,0.03292727736798312,0.029501407775903717,True,1.5725532956952608,0.12573279066959353,0.06517547050458451,1.929142815482235,1.4118752912775805,0.11666932193667412,0.08594070503390475,1.3575560252926309,True,0.5715867901896041,True,True,True,0.9543640897755611
SOXQ,Invesco PHLX Semiconductor ETF,2021-06-11,equity,index_passive_identified,sector_or_industry,semiconductors,0.2923672513995039,0.13597293981875613,0.1563943115807478,1.2720323969623613,1.2210640723698551,0.05096832459250611,0.635481203904156,0.5550734081317357,0.0804077957724203,1.6940625680822101,1.6458353219844555,0.04822724609775464,0.05767949302331015,0.06725834536121046,0.5498678885023487,0.5015300883866919,0.031716101038613505,0.03373208389375053,-0.002015982855137023,0.031716101038613505,0.03373208389375053,False,2.16901893866838,0.24663681215171418,0.18337370206829812,1.3449955439076728,0.6137305385050389,0.09577651619748306,0.0921047076965218,1.0398655898573566,True,0.3051299540503163,True,True,True,0.9541147132169576
GARP,iShares MSCI USA Quality GARP ETF,2020-01-16,equity,index_passive_identified,factor_or_style,not_sector_specific,0.207422963822542,0.1517746396561308,0.05564832416641119,1.3042823190615718,1.1380510339342282,0.16623128512734353,0.6619339617635006,0.4501395305683128,0.21179443119518782,1.9015890864036813,1.8195930869657637,0.08199599943791758,0.07025418793435088,0.06715967454928892,0.5041385870622439,0.43163828228184214,0.035417847040428996,0.028988686561062623,0.006429160479366373,0.035417847040428996,0.028988686561062623,True,1.8820789867535392,0.1729944723552479,0.1163640199116412,1.4866663465786756,1.1074803600758463,0.11893290602858086,0.09098885132521796,1.30711514978339,True,0.17955119679528564,True,True,True,0.9541147132169576
RWLC,Rayliant Wilshire NxtGen US Large Cap Equity ETF,2021-12-16,equity,systematic_or_rules_based,other_equity,not_sector_specific,0.1401447288860309,0.12744954381280138,0.012695185073229531,1.3112810397573986,1.133953828533991,0.17732721122340767,0.6675004583537762,0.5202789080187868,0.1472215503349894,1.9170762367109162,1.4668217707414066,0.4502544659695096,0.07106581399247883,0.061858172001592916,0.5129160519951494,0.4995330365334949,0.03645079674484389,0.030900200494366925,0.0055505962504769635,0.03645079674484389,0.030900200494366925,True,0.5382812390577572,0.09558970111231035,0.08511749189843452,1.1230323988678106,0.45913535423560803,0.08339062351491244,0.09690563984380172,0.8605342645621701,True,0.2624981343056405,True,True,True,0.9541147132169576
IJJ,iShares S&P Mid-Cap 400 Value ETF,2000-07-28,equity,index_passive_identified,factor_or_style,not_sector_specific,0.10348994382088117,0.08596434278312048,0.017525601037760685,0.7969100400470857,0.7471929995445218,0.04971704050256387,0.1784195233377967,0.15576228341647452,0.02265723992132218,0.82940661411179,0.5324828390725607,0.2969237750392293,0.04203295702454473,0.041310248141022105,0.46111599430528094,0.4344456375488701,0.019382068771964085,0.017947057090928375,0.0014350116810357104,0.019382068771964085,0.017947057090928375,True,6.777923935644885,0.08175401823756978,0.1355859860955777,0.6029680543824011,4.121214369281186,0.06457362665286559,0.20359783635388165,0.3171626369379857,True,0.2858054174444154,True,True,True,0.9526184538653366
SLYV,State Street SPDR S&P 600 Small Cap Value ETF,2000-10-02,equity,index_passive_identified,factor_or_style,not_sector_specific,0.10579640187332973,0.08597073319384063,0.019825668679489095,0.7929790686006016,0.7464024257994029,0.046576642801198775,0.17252264794304548,0.15577386246115182,0.016748785481893652,0.7882898983845795,0.5719324075913516,0.21635749079322797,0.0399834922017919,0.041278893839339685,0.4778057260807546,0.43360917885931677,0.019104341522721367,0.017898907261896992,0.0012054342608243743,0.019104341522721367,0.017898907261896992,True,7.1625366053356565,0.0843638769804782,0.14819114585668827,0.569290941727816,4.106821793899458,0.064922469035398,0.17895437281674872,0.36278783252689406,True,0.20650310920092196,True,True,True,0.9518703241895261
MGK,Vanguard Morningstar Mega Cap Growth ETF,2007-12-27,equity,index_passive_identified,factor_or_style,not_sector_specific,0.13584882845172475,0.11241235160101026,0.023436476850714483,1.0044346988408166,0.9041118812404063,0.10032281760041029,0.28317127320155366,0.21303647031280962,0.07013480288874405,1.10868718847929,0.9498653916943454,0.15882179678494457,0.056749277370612666,0.053203125851585875,0.4478472304724043,0.40854808961454897,0.02541500670173917,0.021736035428187833,0.0036789712735513375,0.02541500670173917,0.021736035428187833,True,7.200453109380872,0.119172987880245,0.12940224965980496,0.9209498922433542,4.554108839113088,0.09608059110579581,0.12564755640359038,0.764683324180034,True,0.15626656806332018,True,True,True,0.9503740648379052
HLAL,Wahed FTSE USA Shariah ETF,2019-07-16,equity,index_passive_identified,other_equity,not_sector_specific,0.1726379911407383,0.15778568467618204,0.014852306464556264,1.2657085537019122,1.1928701513342979,0.0728384023676143,0.5142030078049032,0.4679673375700707,0.04623567023483255,2.239893234825238,1.9583690315093698,0.281524203315868,0.07332736660170672,0.0711803225230395,0.45960623317607724,0.43125388435603657,0.03370171475253172,0.030696790577776262,0.0030049241747554557,0.03370171475253172,0.030696790577776262,True,1.5482028691186458,0.1400231328379613,0.08281767003176065,1.6907398238112992,1.3265966485273686,0.12558391709233985,0.08787850819047581,1.4290629151343572,True,0.26167690867694193,True,True,True,0.9493765586034912
IJH,iShares Core S&P Mid-Cap ETF,2000-05-26,equity,index_passive_identified,broad_equity,not_sector_specific,0.09833666033565236,0.08668207483087165,0.011654585504780712,0.7709158603125691,0.7527356494303862,0.018180210882182912,0.17858359218485062,0.1570627712585203,0.021520820926330314,0.8398483128321762,0.538640948872229,0.3012073639599472,0.0400217601548386,0.0416043585306431,0.4747165638017225,0.43557972441856596,0.01899899245800167,0.018122015023388734,0.0008769774346129369,0.01899899245800167,0.018122015023388734,True,5.916010879653398,0.07637404267452097,0.13273970764054813,0.5753669646564064,4.225417535086918,0.0649525052092752,0.2032074502676088,0.31963643618252024,True,0.2557305284738861,True,True,True,0.9486284289276808
IJR,iShares Core S&P Small-Cap ETF,2000-05-26,equity,index_passive_identified,broad_equity,not_sector_specific,0.10117356415633649,0.08668207483087165,0.014491489325464846,0.7625997285827182,0.7527356494303862,0.009864079152332006,0.17398420893706174,0.1570627712585203,0.01692143767854143,0.7520435041673718,0.538640948872229,0.21340255529514274,0.03709545939070728,0.0416043585306431,0.5067695471175743,0.43557972441856596,0.0187988491555471,0.018122015023388734,0.0006768341321583653,0.0187988491555471,0.018122015023388734,True,6.401031430669589,0.07915421904887188,0.14869597860467823,0.5323225267531314,4.225417535086918,0.0649525052092752,0.2032074502676088,0.31963643618252024,True,0.21268609057061116,True,True,True,0.9461346633416459
RISR,FolioBeyond Alternative Income and Interest Rate Hedge ETF,2021-10-01,alternatives,non_index_management_identified,alternative_income,not_sector_specific,0.13870925860564887,0.13816518199771766,0.0005440766079312098,1.8499807495721963,1.2223771395653966,0.6276036100067997,0.9695269116252343,0.5640226544990516,0.40550425712618265,4.107484588057959,1.6246382403431205,2.4828463477148386,0.10301548265322552,0.06707304347221531,0.47286765937231706,0.5021296164682361,0.048712690161340284,0.0336793615940608,0.015033328567279486,0.048712690161340284,0.0336793615940608,True,0.5707977465771616,0.09601721337090785,0.04029636575330209,2.382776004137289,0.5671044851970157,0.09549353507183511,0.09484034619789228,1.006887246832481,True,1.375888757304808,True,True,True,0.9451371571072319
SPUS,SP Funds S&P 500 Sharia Industry Exclusions ETF,2019-12-18,equity,index_passive_identified,broad_equity,not_sector_specific,0.18532110930464896,0.15667857016431253,0.02864253914033643,1.312944882909028,1.1733371046969987,0.1396077782120293,0.6016635112314783,0.46468381136445813,0.1369796998670202,1.9434093067909424,1.8890392048202287,0.05437010197071368,0.07272868678926647,0.0696033392619953,0.4855782414778247,0.43098221946117216,0.035315467836123514,0.02999780163704368,0.005317666199079835,0.035315467836123514,0.02999780163704368,True,1.5810718318726664,0.15170299293627298,0.10267734351032583,1.477472904438912,1.1901909733914797,0.12387281443504672,0.09047560879310303,1.3691293829071152,True,0.10834352153179694,True,True,True,0.9441396508728179
