request_symbol,name,asset_class_refined,primary_strategy,management_style,start_date,end_date,unlevered_cagr,unlevered_spy_cagr,unlevered_martin,unlevered_spy_martin,unlevered_rwm_score,unlevered_spy_rwm_score,required_initial_leverage,feasible_at_or_below_2x,ruined,first_non_positive_date,minimum_equity,minimum_margin_ratio,illustrative_25pct_maintenance_breach,terminal_debt_index,matched_cagr,matched_sortino,matched_calmar,matched_martin,matched_direction,matched_breadth,matched_dbf_signed,matched_dbf,matched_relative_cash_return,matched_relative_cash_cagr,matched_relative_cash_ulcer_index,matched_rwm_score,matched_terminal_wealth,spy_terminal_wealth,matched_martin_beats_spy,matched_rwm_beats_spy,spy_rwm_score,matched_all_three_risk_beat_spy,spy_sortino,spy_calmar,spy_martin
DFAU,Dimensional US Core Equity Market ETF,equity,other_equity,active_identified,2020-11-19,2026-09-04,0.15405955831958562,0.15713108592999125,2.0320801481602078,1.9978801054361455,1.370495517519638,1.368746896551553,1.0365294934573168,True,False,,0.9999983967611205,0.9646643275492176,False,1.3192058332927372,0.15713108592999125,1.3702638309374422,0.646414876237694,2.0070322392343023,0.0754100692051467,0.5135936403978637,0.03873013196572613,0.03873013196572613,0.9274500280378619,0.11999004035099725,0.08790893424292151,1.3649356733119413,2.328239775545074,2.328239775545074,True,False,1.368746896551553,False,1.408881564054493,0.6414459193635073,1.9978801054361455
DIVO,Amplify CWP Enhanced Dividend Income ETF,equity,dividend_or_income,active_identified,2016-12-15,2026-09-04,0.12876690089312937,0.15230337853625953,3.122578341315141,2.0982373632963967,2.2281415733035574,1.5675502856701846,1.4080968020620812,True,False,,0.9928746955133305,0.690671526702904,False,1.4790964707753937,0.15230337853625953,1.2075701967913328,0.396411574659508,2.891556818058562,0.07584177388410364,0.3825712568272008,0.029014882754845903,0.029014882754845903,2.1091401828073995,0.1237906171399541,0.05718439423734018,2.164762236112339,3.966460712645026,3.9664607126450258,True,True,1.5675502856701846,False,1.2341713236154352,0.45170768630127056,2.0982373632963967
DUHP,Dimensional US High Profitability ETF,equity,other_equity,active_identified,2022-02-24,2026-09-04,0.1388556954312652,0.15386435574419122,2.3801895862814186,2.086909200273513,1.4169509127551505,1.2979933045212904,1.2162437816836513,True,False,,0.8285199895627533,0.7902533249779221,False,1.2927331425016657,0.15386435574419122,1.2228856339986502,0.6327698581541544,2.1504776193140462,0.0662547305378008,0.49968666666378025,0.033106605453140654,0.033106605453140654,0.5837865850639703,0.10694092682682066,0.07903262234470237,1.3531238576444504,1.9111621408911126,1.9111621408911124,True,True,1.2979933045212904,False,1.3416499164910376,0.6963811463017875,2.086909200273513
FBCV,Fidelity Blue Chip Value ETF,equity,factor_or_style,active_identified,2020-06-05,2026-09-04,0.14237449435708038,0.1674215958262646,3.099877616091762,2.1906218064844034,1.8457186960071794,1.5592829190834363,1.3443237985366727,True,False,,0.8574453485194167,0.7132972919423753,False,1.328972201041972,0.1674215958262646,1.361752283011256,0.8685370846787284,2.770523354382804,0.07384371085499696,0.5192927279865083,0.0383465020545383,0.0383465020545383,1.176738854161735,0.13257545772186807,0.0740748985294378,1.789748759077703,2.630463893950897,2.630463893950897,True,True,1.5592829190834363,False,1.4456746714852244,0.6834541925327974,2.1906218064844034
FLLV,Franklin Liberty U.S. Low Volatility ETF,equity,factor_or_style,active_identified,2016-09-20,2026-07-17,0.13069923887724877,0.15358752353391347,2.4549506020696286,2.1264731525388414,1.7404604722946067,1.600973154201786,1.3895354749866546,True,False,,0.9367956930402421,0.7057701017913135,False,1.4755026776686184,0.15358752353391347,1.180621246738632,0.36784893401476443,2.332607408162162,0.0784626839231203,0.3404332668370651,0.026711307812751908,0.026711307812751908,2.2015020203410507,0.12578930055650184,0.07224265996549781,1.741205274232389,4.068089878332071,4.068089878332072,True,True,1.600973154201786,False,1.2481615433615927,0.4555162568749531,2.1264731525388414
FLV,American Century Focused Large Cap Value ETF,equity,factor_or_style,active_identified,2020-04-02,2026-09-04,0.1611952705336337,0.2062913880790911,4.213194158783079,2.734805070789838,2.7847061633240733,2.0408304158750092,1.566196977507345,True,False,,0.9729501929314802,0.6321258952359683,False,1.3326395990215933,0.20629138807909086,1.6256136322130987,1.0455203993949371,3.9915644049964754,0.08837028551630212,0.49103251085426636,0.04339268318197824,0.04339268318197824,1.760028023162031,0.1712366365049316,0.06069105510709117,2.8214476779614306,3.3356327698583796,3.33563276985838,True,True,2.0408304158750092,False,1.7202873747509917,0.84212979436878,2.734805070789838
HEQT,Simplify Hedged Equity ETF,alternatives,long_short_market_neutral,non_index_management_identified,2021-11-02,2026-09-04,0.09364952571445051,0.1263666811091746,2.2515648605504355,1.4726699791272804,1.0748677769457247,0.8715690202635161,1.973452860535547,True,False,,0.7980541782248326,0.44476240831732866,False,1.2992157389067407,0.1263666811091746,1.158128003449239,0.5309996092227003,1.3923804573542442,0.06254645381038809,0.5189468729562157,0.03245828661940128,0.03245828661940128,0.47336490951231114,0.08340313140998257,0.10007588459575019,0.8333988927190993,1.7783643120580968,1.778364312058097,False,False,0.8715690202635161,False,1.1273146612896006,0.5158584086735344,1.4726699791272804
JAVA,JPMorgan Active Value ETF,equity,factor_or_style,active_identified,2021-10-05,2026-09-04,0.12402718172725069,0.13910259188035679,2.520684945032076,1.6343539352911864,1.3727254409565233,1.0146239891626598,1.252739759026898,True,False,,0.9039367873289885,0.7775399419815316,False,1.3008121930699201,0.13910259188035679,1.1743987647847065,0.6869140009326202,2.220271168507971,0.06206498278400159,0.5357192065575648,0.03324940333205425,0.03324940333205425,0.571243307801405,0.09630442518521054,0.07427023566619388,1.2966759068605747,1.8966208212672715,1.8966208212672713,True,True,1.0146239891626598,False,1.2291433715473024,0.5678493813394545,1.6343539352911864
MBOX,Freedom Day Dividend ETF,equity,dividend_or_income,active_identified,2021-05-05,2026-09-04,0.12643488011377202,0.13756405942580252,2.683349812405257,1.6809654895402035,1.5097786081606535,1.07475918432483,1.175934336573843,True,False,,0.914671857300919,0.8346184854081525,False,1.309587260020332,0.13756405942580252,1.255843772455621,0.7147301692394181,2.44472929324499,0.06665917598392367,0.5440265471553527,0.036264361346755,0.036264361346755,0.646856319929844,0.09804998822880973,0.06764913633916007,1.4493900962347024,1.9885845588973994,1.9885845588973994,True,True,1.07475918432483,True,1.2372158973173506,0.561568731276221,1.6809654895402035
RFDA,ALPS Dynamic US Dividend Advantage ETF,equity,dividend_or_income,active_identified,2016-09-28,2026-09-04,0.1356470590244112,0.1541145921258542,2.2799874333079537,2.146228186208561,1.6309741959626927,1.6137315144842819,1.29952239323181,True,False,,0.9337992433928066,0.7367446837758782,False,1.4852134831453856,0.1541145921258542,1.1323401019148853,0.368360078033658,2.146482794748968,0.06729401431669761,0.4292425562079468,0.02888545472279345,0.02888545472279345,2.252240850533009,0.12606404007977856,0.07885904102265136,1.5985997096207156,4.152661433494664,4.152661433494664,True,False,1.6137315144842819,False,1.255382364228608,0.4570794587978239,2.146228186208561
