request_symbol,name,start_date,asset_class_refined,management_style,primary_strategy,sector_theme,cagr,spy_cagr,excess_cagr,sortino,spy_sortino,excess_sortino,calmar,spy_calmar,excess_calmar,martin,spy_martin,excess_martin,direction,spy_direction,breadth,spy_breadth,dbf_signed,spy_dbf_signed,excess_dbf_signed,dbf,spy_dbf,beat_spy_dbf_signed,relative_cash_return,relative_cash_cagr,relative_cash_ulcer_index,rwm_score,spy_relative_cash_return,spy_relative_cash_cagr,spy_relative_cash_ulcer_index,spy_rwm_score,beat_spy_rwm_score,excess_rwm_score,beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,beat_spy_all_four,joint_excess_score
CLSE,Convergence Long/Short Equity ETF,2022-02-22,alternatives,active_identified,long_short_market_neutral,not_sector_specific,0.20313448314621674,0.1529112180369483,0.050223265109268445,2.026854843484932,1.33210886697911,0.6947459765058219,1.2352219433074485,0.6920673003434886,0.5431546429639599,4.044982449202576,2.0757504771351747,1.969231972067401,0.11106043908024178,0.07393784262315792,0.5789471972658564,0.4937884386342834,0.06429812993262136,0.036509651864876515,0.02778847806774485,0.06429812993262136,0.036509651864876515,True,0.9156655179402011,0.15426419575517225,0.05855166502851986,2.634667958290031,0.5790971517288075,0.10608095645680748,0.08231878721724098,1.2886603416162783,True,1.346007616673753,True,True,True,0.9860349127182044
PVAL,Putnam Focused Large Cap Value ETF,2021-05-26,equity,active_identified,factor_or_style,not_sector_specific,0.16841682067070596,0.13744698244648923,0.030969838224216728,1.6187031660519071,1.236308979727142,0.3823941863247651,1.0118430530306954,0.5610907956074926,0.4507522574232028,3.7763025457770376,1.6706192280550123,2.1056833177220255,0.08920150439285018,0.0683283774932142,0.5356036033065317,0.49959518317190643,0.047776647173173974,0.03413652826956152,0.013640118903612455,0.047776647173173974,0.03413652826956152,True,0.8826485217941258,0.1274040982518292,0.049526883673239666,2.5724230721317944,0.6338669512917436,0.09752133559514675,0.09172196614237546,1.0632277053870522,True,1.5091953667447422,True,True,True,0.9812967581047382
FFLC,Fidelity Fundamental Large Cap Core ETF,2020-06-05,equity,active_identified,factor_or_style,not_sector_specific,0.1961065603354446,0.1674215958262646,0.02868496450918001,1.6289106588529214,1.4456746714852196,0.18323598736770186,0.9946344519238719,0.6834541925327974,0.3111802593910745,4.456336131159404,2.1906218064844034,2.2657143246750002,0.08851989001794582,0.08108174618724771,0.5329344763124748,0.5094905278366169,0.04717530122995182,0.04131038166285544,0.00586491956709638,0.04717530122995182,0.04131038166285544,True,1.533218580251313,0.16040421035490993,0.04689084618677431,3.4208000793159576,1.176738854161735,0.13257545772186807,0.08502335022036757,1.5592829190834363,True,1.8615171602325213,True,True,True,0.9802992518703242
CGDV,Capital Group Dividend Value ETF,2022-02-24,equity,active_identified,dividend_or_income,not_sector_specific,0.1874250926213139,0.15386435574419122,0.03356073687712269,1.771931898274405,1.3416499164910365,0.4302819817833685,0.8592000758968855,0.6963811463017875,0.16281892959509803,3.3130111148375074,2.086909200273513,1.2261019145639946,0.09900765873946028,0.07455812358152718,0.5098996352374474,0.492919186858662,0.05048396907696447,0.036751129649514006,0.013732839427450468,0.05048396907696447,0.036751129649514006,True,0.8032211957463515,0.13913687169574196,0.06179355872720101,2.2516403742012523,0.5837865850639701,0.10694092682682066,0.08238942870838711,1.2979933045212904,True,0.9536470696799619,True,True,True,0.9798004987531173
PWRD,TCW Transform Systems ETF,2022-02-03,equity,active_identified,other_equity,not_sector_specific,0.19332230575648235,0.14132799363845439,0.05199431211802796,1.2404511059943235,1.2415008614992853,-0.0010497555049617802,0.7473019875925602,0.6396422988187378,0.10765968877382237,2.6885429380589683,1.916814872251803,0.7717280658071652,0.06539099099647241,0.06847468219978953,0.5304018687171979,0.4960105749150257,0.034683503821798425,0.03396416648504128,0.0007193373367571435,0.034683503821798425,0.03396416648504128,True,0.8628562460334606,0.14537898489449685,0.08114962153836876,1.7914930733935646,0.5188180747771463,0.09547361385872977,0.0822923626146323,1.1601758756863512,True,0.6313171977072134,True,True,False,0.9785536159600998
DARP,Grizzle Growth ETF,2021-12-17,equity,active_identified,factor_or_style,not_sector_specific,0.20413568579185615,0.1300899124877115,0.07404577330414464,1.1843358283824161,1.154367362882395,0.02996846550002119,0.6744221799317258,0.5310575117693579,0.14336466816236793,1.9994890284898637,1.4966161829766147,0.502872845513249,0.058405122444403046,0.0631015970870655,0.5661011749459238,0.49919037780426584,0.03306320843863711,0.03149971008994479,0.0015634983486923215,0.03306320843863711,0.03149971008994479,True,0.9892592530866327,0.15705375454926385,0.11058463315392955,1.4202131893917944,0.47483510982422406,0.08590318487428283,0.09694457145031517,0.8861061902605746,True,0.5341069991312198,True,True,True,0.9770573566084788
DFIV,Dimensional International Value ETF,2021-09-13,equity,active_identified,factor_or_style,not_sector_specific,0.16357206189695894,0.1310492324462229,0.032522829450736035,1.460369987822868,1.1660837274835976,0.2942862603392704,0.6435423529737133,0.5349736806745055,0.10856867229920786,2.4181632870455108,1.5486486973642548,0.869514589681256,0.07916673192829993,0.06368842798956811,0.5404255636319905,0.5036454913223002,0.04278372572325418,0.032076389606350966,0.010707336116903214,0.04278372572325418,0.032076389606350966,True,0.7601466736767863,0.12036302311958935,0.07401920817230324,1.6261052514829144,0.5286234600515769,0.08904792307806231,0.09435781576194255,0.943725989829219,True,0.6823792616536954,True,True,True,0.9758104738154614
AVLV,Avantis U.S. Large Cap Value ETF,2021-09-23,equity,active_identified,factor_or_style,not_sector_specific,0.14952350172879703,0.13283738584820748,0.016686115880589547,1.313010137977837,1.1802280035377184,0.13278213444011855,0.7666984624728469,0.5422733419484689,0.22442512052437802,2.719537926039077,1.5652495390513184,1.1542883869877585,0.07147732888237887,0.06458447950935821,0.5224339576135906,0.5025628020954634,0.0373421838076694,0.032457756994100105,0.0048844268135692925,0.0373421838076694,0.032457756994100105,True,0.6506595097294257,0.10660935682546402,0.06277061186170145,1.6983960115021617,0.5354657306711432,0.09054616896130607,0.09463671437402413,0.9567763373889825,True,0.7416196741131792,True,True,True,0.9655860349127182
AVIV,Avantis International Large Cap Value ETF,2021-09-30,equity,active_identified,factor_or_style,not_sector_specific,0.1441371385088639,0.1408148894912824,0.003322249017581491,1.3031812796488698,1.2423267727357832,0.06085450691308658,0.5205316904787368,0.5748393814960975,-0.05430769101736066,1.8954150434351524,1.6564644093915788,0.23895063404357364,0.069170493982397,0.06823133237023804,0.5416845964092505,0.5024899349609341,0.03746859111628321,0.03428555776501879,0.003183033351264415,0.03746859111628321,0.03428555776501879,True,0.608613455362885,0.1012644754190064,0.08519523572857572,1.1886166468466126,0.5857248110249005,0.09806671642804621,0.09480203460424645,1.0344368328952882,True,0.1541798139513244,True,True,False,0.9306733167082295
TSPA,T. Rowe Price U.S. Equity Research ETF,2021-06-14,equity,active_identified,other_equity,not_sector_specific,0.1413669929112671,0.1357143538448895,0.005652639066377585,1.2587880475163629,1.2178418496122623,0.04094619790410059,0.5719441749630387,0.5540177995819717,0.017926375381067006,1.700706957523021,1.642080639902858,0.058626317620162904,0.06879187685496015,0.06704796304640402,0.5158167456747237,0.5017025352040297,0.03548400204818189,0.033638133040647,0.0018458690075348894,0.03548400204818189,0.033638133040647,True,0.6524400642775974,0.10091839108248069,0.0916607138062558,1.100999401944359,0.6101336079770927,0.09546607439120058,0.09213974848443454,1.0361008789526702,True,0.06489852299168875,True,True,True,0.9209476309226933
